,salary,age,elevel,car,zipcode,credit,brand
36,38043.11147,52,Some College,Buick,West North Central,210004.5866,Sony
37,49692.09674,42,"Master's, Doctoral or Professional Degree",Honda,East North Central,462826.1495,Sony
38,101454.6305,26,Less than High School Degree,Subaru,East North Central,22960.79969,Acer
39,123266.0939,45,Less than High School Degree,Ram,West North Central,0.0,Acer
40,108356.0675,26,Less than High School Degree,Hyundai,New England,193313.0143,Sony
41,145227.4387,51,High School Degree,Chrysler,West North Central,436186.7925,Sony
42,47038.66895,37,"Master's, Doctoral or Professional Degree",Kia,South Atlantic,26372.01677,Sony
43,90380.44913,28,Some College,Ram,New England,0.0,Acer
44,87634.04855,59,Some College,Chrysler,West South Central,206711.9404,Sony
45,132209.9161,68,Some College,Chevrolet,West South Central,417555.6048,Sony
46,74868.80467,71,High School Degree,Ford,East South Central,176808.022,Acer
47,75014.31541,72,4-Year College Degree,Subaru,West North Central,296145.2233,Sony
48,97986.02981,69,Some College,Chrysler,East South Central,247553.2448,Sony
49,76687.00712,41,Less than High School Degree,Chevrolet,West North Central,405797.2386,Acer
50,36679.32036,35,"Master's, Doctoral or Professional Degree",Lincoln,Mid-Alantic,15727.3963,Sony
51,87572.47168,43,High School Degree,Lincoln,South Atlantic,68500.989,Acer
52,125796.5011,57,Less than High School Degree,Mitsubishi,Mountain,323423.7621,Acer
53,110027.6772,52,Less than High School Degree,Nissan,South Atlantic,386734.4386,Acer
54,81015.25683,63,Less than High School Degree,Ford,Mountain,250036.0,Sony
55,88405.44247,36,"Master's, Doctoral or Professional Degree",Honda,Mountain,195042.678,Acer
56,79709.08819,51,Some College,Cadillac,Mid-Alantic,291992.4442,Acer
57,116982.1324,42,Less than High School Degree,Chrysler,West South Central,250699.3393,Acer
58,36761.19167,32,Some College,Dodge,East North Central,114826.0399,Sony
59,101996.8511,33,Less than High School Degree,Honda,East North Central,276545.1894,Acer
60,30991.66107,75,High School Degree,Subaru,South Atlantic,307978.644,Acer
61,137871.8319,24,Less than High School Degree,Ram,East South Central,115781.5242,Sony
62,83185.07469,62,"Master's, Doctoral or Professional Degree",Buick,Pacific,163108.4384,Sony
63,31430.23788,47,"Master's, Doctoral or Professional Degree",Jeep,East North Central,177297.7198,Sony
64,50883.13139,72,High School Degree,Subaru,West South Central,259957.0146,Acer
65,63708.35087,31,Less than High School Degree,Subaru,West South Central,129263.3169,Acer
66,66431.46169,79,High School Degree,None,West South Central,388763.2145,Acer
67,145409.6872,22,High School Degree,Nissan,West North Central,393137.5146,Sony
68,79448.80903,42,Some College,Chrysler,East North Central,62604.36209,Acer
69,131957.8134,65,"Master's, Doctoral or Professional Degree",Kia,Mid-Alantic,238253.0074,Sony
70,91708.59748,44,"Master's, Doctoral or Professional Degree",Hyundai,East South Central,396255.5288,Acer
71,150000.0,46,"Master's, Doctoral or Professional Degree",BMW,Pacific,313158.5103,Sony
72,109505.1253,61,Some College,Jeep,West North Central,68952.84297,Acer
73,131927.7112,63,High School Degree,Honda,Mid-Alantic,424565.9627,Sony
74,110539.0599,64,"Master's, Doctoral or Professional Degree",Kia,West South Central,257476.5904,Sony
75,133162.3653,69,Less than High School Degree,Ford,Pacific,413996.4766,Sony
76,140352.0096,75,Some College,Mitsubishi,South Atlantic,339276.6955,Sony
77,85161.21816,64,Some College,Mercedes Benz,East South Central,36491.25654,Sony
78,42954.52214,64,Less than High School Degree,Mazda,New England,463502.2803,Acer
79,143756.6798,54,High School Degree,Mazda,East North Central,88560.27002,Sony
80,137368.9441,57,"Master's, Doctoral or Professional Degree",Lincoln,Pacific,415156.2822,Sony
81,43377.95669,30,Less than High School Degree,Dodge,East North Central,190336.1605,Sony
82,85919.98579,75,4-Year College Degree,Ford,Mid-Alantic,43412.86628,Sony
83,147788.4085,30,High School Degree,Chrysler,East North Central,131963.4556,Sony
84,66923.38974,73,"Master's, Doctoral or Professional Degree",Kia,Mid-Alantic,266925.7954,Acer
85,144289.5569,31,"Master's, Doctoral or Professional Degree",Ford,Mountain,113120.0512,Sony
86,91947.70597,73,Less than High School Degree,Lincoln,West South Central,237813.5768,Sony
87,96785.84648,52,"Master's, Doctoral or Professional Degree",Toyota,East South Central,148748.7091,Acer
88,47399.23601,21,"Master's, Doctoral or Professional Degree",Buick,West North Central,362188.0274,Sony
89,42158.55331,53,High School Degree,Cadillac,West South Central,121961.5697,Sony
90,56740.9202,66,Some College,Subaru,West South Central,144605.2693,Acer
91,101076.8581,22,Less than High School Degree,Dodge,Mid-Alantic,268532.5642,Sony
92,37854.62392,59,Less than High School Degree,Hyundai,New England,496484.7927,Sony
93,104524.7856,75,4-Year College Degree,Hyundai,West North Central,252602.3268,Sony
94,51053.51946,30,Less than High School Degree,Mitsubishi,East South Central,88354.59118,Acer
95,46822.50581,29,Some College,Ford,Pacific,414381.2016,Acer
96,34759.47997,58,"Master's, Doctoral or Professional Degree",Nissan,Mid-Alantic,396818.5906,Sony
97,141628.0388,75,Some College,Subaru,West North Central,326686.0247,Sony
98,59628.93628,36,"Master's, Doctoral or Professional Degree",Lincoln,Mountain,290262.5533,Acer
99,78358.97271,76,4-Year College Degree,Jeep,Mountain,365827.7418,Sony
100,26963.8117,35,High School Degree,Honda,East South Central,266219.8571,Sony
101,116112.6737,26,"Master's, Doctoral or Professional Degree",Toyota,Mountain,404450.4455,Sony
102,83246.06241,73,4-Year College Degree,Mazda,East North Central,252877.311,Sony
103,130659.3274,29,Less than High School Degree,Mitsubishi,New England,271194.6055,Sony
104,47868.26996,41,Some College,Mercedes Benz,West North Central,36230.61235,Sony
105,96033.56517,57,High School Degree,Mercedes Benz,West South Central,482692.673,Acer
106,31392.28755,24,High School Degree,BMW,Mountain,491295.7244,Sony
107,69737.79123,61,Some College,Nissan,West South Central,348396.9512,Acer
108,27102.74327,46,Less than High School Degree,Nissan,East North Central,293842.1544,Sony
109,23654.64631,76,Less than High School Degree,Mercedes Benz,Mid-Alantic,460399.5189,Sony
110,138560.6316,62,"Master's, Doctoral or Professional Degree",Subaru,New England,81219.09461,Sony
111,84730.79371,61,"Master's, Doctoral or Professional Degree",Nissan,West South Central,190860.2432,Sony
112,138221.6411,45,Some College,Ford,South Atlantic,219282.5017,Sony
113,80798.43468,47,Some College,Kia,East South Central,390780.3539,Acer
114,129050.4786,77,"Master's, Doctoral or Professional Degree",Jeep,South Atlantic,481644.6779,Sony
115,96839.44554,53,High School Degree,Subaru,South Atlantic,393853.3631,Acer
116,116080.6148,65,4-Year College Degree,Toyota,Pacific,70909.89901,Sony
117,100820.0127,70,"Master's, Doctoral or Professional Degree",Chevrolet,West South Central,463076.2302,Sony
118,129274.9851,29,Some College,Lincoln,New England,98820.08272,Sony
119,102307.338,77,Less than High School Degree,Cadillac,Mid-Alantic,305063.1696,Sony
120,112471.3817,24,High School Degree,Buick,East North Central,318564.8699,Sony
121,48880.22734,38,Some College,Hyundai,South Atlantic,376145.7739,Sony
122,80460.46303,21,"Master's, Doctoral or Professional Degree",Buick,Mountain,180388.1352,Acer
123,43727.80569,43,4-Year College Degree,Toyota,Mid-Alantic,199837.2545,Sony
124,134832.8799,44,4-Year College Degree,Jeep,West South Central,387388.682,Sony
125,89282.60355,55,4-Year College Degree,Mercedes Benz,South Atlantic,245925.2087,Acer
126,117663.2622,70,High School Degree,Chrysler,New England,291348.255,Sony
127,117036.9001,34,4-Year College Degree,Cadillac,East North Central,114259.2543,Sony
128,103561.6649,38,4-Year College Degree,Chevrolet,Mountain,362072.0556,Sony
129,23964.83034,57,High School Degree,Ram,South Atlantic,165441.501,Sony
130,53452.1516,32,High School Degree,None,East North Central,24755.74467,Acer
131,134663.8237,51,High School Degree,Buick,Mid-Alantic,476990.3625,Sony
132,27705.55768,41,"Master's, Doctoral or Professional Degree",Nissan,East South Central,213908.7984,Sony
133,68420.3845,26,"Master's, Doctoral or Professional Degree",Mercedes Benz,East North Central,485034.8151,Acer
134,83499.84104,78,"Master's, Doctoral or Professional Degree",Toyota,West North Central,211182.218,Sony
135,45257.89254,40,Some College,Kia,South Atlantic,374850.8742,Sony
136,22083.3418,52,High School Degree,Mercedes Benz,Mountain,87643.63816,Sony
137,115221.605,42,4-Year College Degree,Lincoln,Pacific,460387.283,Acer
138,84020.68676,72,"Master's, Doctoral or Professional Degree",Kia,South Atlantic,334105.9909,Sony
139,109830.1691,24,High School Degree,Hyundai,Pacific,144156.9785,Sony
140,140784.7192,60,"Master's, Doctoral or Professional Degree",Cadillac,South Atlantic,485468.1685,Sony
141,104363.634,29,Some College,Mitsubishi,Pacific,71762.09863,Sony
142,58089.91395,45,Some College,Hyundai,East South Central,460439.3142,Sony
143,138483.5089,34,"Master's, Doctoral or Professional Degree",Ram,Mountain,158932.9768,Sony
144,27228.80043,39,Less than High School Degree,Toyota,Mid-Alantic,365463.041,Sony
145,120233.0347,70,Some College,Nissan,Pacific,91005.91966,Sony
146,137794.6133,24,Less than High School Degree,Mazda,East North Central,216481.9042,Sony
147,33466.40514,74,"Master's, Doctoral or Professional Degree",None,West South Central,123852.0306,Acer
148,26386.96058,52,High School Degree,Cadillac,East North Central,93758.19955,Sony
149,125116.9682,32,4-Year College Degree,Mitsubishi,New England,290177.4608,Sony
150,111872.7192,41,Less than High School Degree,Honda,Mid-Alantic,13674.56176,Acer
151,55982.03847,60,4-Year College Degree,Buick,Mid-Alantic,50869.17995,Acer
152,133279.7834,41,Some College,Mitsubishi,West South Central,260987.137,Sony
153,25011.38899,20,"Master's, Doctoral or Professional Degree",Cadillac,Mountain,282742.6841,Sony
154,41010.73299,62,"Master's, Doctoral or Professional Degree",Hyundai,South Atlantic,476510.2101,Sony
155,148518.7501,52,High School Degree,Ram,Pacific,293916.2145,Sony
156,140390.2986,69,Some College,Ford,West South Central,235410.8935,Sony
157,106841.0035,78,4-Year College Degree,Buick,East South Central,386222.3608,Sony
158,90537.0496,35,High School Degree,Buick,East North Central,302056.9251,Acer
159,37910.1441,20,4-Year College Degree,BMW,Mid-Alantic,399464.5848,Sony
160,92422.59324,52,Some College,Honda,East North Central,308886.506,Acer
161,150000.0,31,"Master's, Doctoral or Professional Degree",Subaru,East South Central,249790.5327,Sony
162,66938.52234,47,High School Degree,Kia,Pacific,15198.15057,Sony
163,88387.43138,80,High School Degree,Kia,Mid-Alantic,82333.27718,Sony
164,29060.81025,45,Some College,Hyundai,Pacific,406164.5896,Sony
165,107592.5351,33,Some College,Dodge,East South Central,169847.3343,Sony
166,27478.32781,69,4-Year College Degree,Honda,Mid-Alantic,500000.0,Acer
167,145683.8368,41,4-Year College Degree,Hyundai,Mountain,271596.1632,Sony
168,119888.6319,41,Less than High School Degree,Cadillac,West South Central,328779.0399,Acer
169,128751.1452,66,Less than High School Degree,Buick,New England,394010.9906,Sony
170,102644.1368,72,High School Degree,Dodge,New England,279655.7691,Sony
171,50887.8217,55,Less than High School Degree,None,East North Central,329172.0321,Sony
172,84796.30592,24,Some College,Toyota,East North Central,167741.3617,Acer
173,112310.1495,75,High School Degree,Cadillac,West South Central,161946.6083,Sony
174,132530.6515,25,High School Degree,Chrysler,South Atlantic,145812.3485,Sony
175,23520.41143,72,Some College,Honda,Mountain,313318.6606,Acer
176,29819.80482,57,"Master's, Doctoral or Professional Degree",Chevrolet,South Atlantic,186745.1407,Sony
177,77468.8675,65,"Master's, Doctoral or Professional Degree",None,Pacific,247147.0116,Sony
178,68054.64082,61,High School Degree,None,West North Central,277300.5101,Acer
179,20000.0,41,Less than High School Degree,Jeep,East North Central,485644.5931,Sony
180,95047.9237,79,"Master's, Doctoral or Professional Degree",Honda,East North Central,329922.743,Sony
181,130455.1561,56,"Master's, Doctoral or Professional Degree",None,Mid-Alantic,92299.37273,Sony
182,105758.7208,75,High School Degree,Mitsubishi,Mid-Alantic,1482.385897,Sony
183,69861.26466,80,High School Degree,Mitsubishi,New England,146050.3559,Acer
184,95688.25285,29,Some College,Mazda,West North Central,247280.5348,Acer
185,140323.7074,33,High School Degree,None,East North Central,135551.9597,Sony
186,68053.3894,44,"Master's, Doctoral or Professional Degree",Subaru,East North Central,144930.6728,Sony
187,139193.2134,69,Less than High School Degree,Mazda,South Atlantic,0.0,Sony
188,150000.0,56,High School Degree,Ford,South Atlantic,373050.1477,Sony
189,101445.0105,23,Some College,Mitsubishi,East North Central,243688.7018,Sony
190,77597.74445,54,Some College,Kia,Mountain,210081.964,Acer
191,54661.19921,32,Less than High School Degree,Subaru,Mountain,168218.3817,Acer
192,81407.64171,31,"Master's, Doctoral or Professional Degree",Mercedes Benz,Pacific,329644.3365,Acer
193,67176.56667,21,Less than High School Degree,Chrysler,Mid-Alantic,348279.437,Acer
194,142005.0501,47,Some College,Dodge,Pacific,109404.8217,Sony
195,103158.6319,44,High School Degree,Chrysler,New England,244790.5043,Acer
196,58555.51104,62,Some College,Toyota,West North Central,389687.1404,Acer
197,50388.49414,41,Less than High School Degree,Cadillac,East South Central,459917.5741,Sony
198,31488.72297,39,Less than High School Degree,Subaru,East South Central,180817.9448,Sony
199,48536.88348,22,Some College,Honda,Mid-Alantic,46120.3939,Sony
200,59742.60873,25,Less than High School Degree,Ram,East South Central,440156.7453,Acer
201,98737.84065,65,4-Year College Degree,Subaru,West North Central,208253.8972,Sony
202,44863.38388,70,"Master's, Doctoral or Professional Degree",Mitsubishi,West North Central,153945.3747,Acer
203,48777.81068,28,Less than High School Degree,Mitsubishi,Mountain,500000.0,Acer
204,59331.00983,70,4-Year College Degree,Chevrolet,East North Central,152312.8766,Acer
205,127367.2236,78,Less than High School Degree,Kia,East North Central,252011.5877,Sony
206,121775.8335,30,High School Degree,Kia,Pacific,0.0,Sony
207,138178.8772,53,"Master's, Doctoral or Professional Degree",None,West North Central,102848.1931,Sony
208,58211.01619,60,High School Degree,BMW,Mountain,498816.7148,Acer
209,127287.1331,28,High School Degree,Ram,East North Central,96898.41995,Sony
210,44057.64317,68,"Master's, Doctoral or Professional Degree",Lincoln,West South Central,410260.7621,Acer
211,54394.40177,28,"Master's, Doctoral or Professional Degree",Ford,South Atlantic,463516.5896,Acer
212,68668.61837,29,Less than High School Degree,Honda,South Atlantic,426409.1721,Acer
213,93055.2053,45,4-Year College Degree,Cadillac,Pacific,44131.25215,Acer
214,74272.1252,38,Some College,Dodge,East North Central,27119.69087,Acer
215,68366.51769,43,"Master's, Doctoral or Professional Degree",Mercedes Benz,East North Central,355413.1987,Sony
216,90626.79709,24,"Master's, Doctoral or Professional Degree",Cadillac,New England,288700.3295,Acer
217,31242.4138,77,"Master's, Doctoral or Professional Degree",Honda,East South Central,70410.16331,Acer
218,130119.761,46,Less than High School Degree,BMW,Mid-Alantic,277130.0322,Sony
219,41786.0207,30,"Master's, Doctoral or Professional Degree",Nissan,East North Central,121711.702,Sony
220,52138.16018,49,Some College,Mitsubishi,East South Central,298294.8226,Sony
221,86882.99922,26,High School Degree,Cadillac,Mountain,500000.0,Acer
222,49480.10439,63,4-Year College Degree,Honda,South Atlantic,95135.23405,Acer
223,105369.2255,40,4-Year College Degree,Chevrolet,South Atlantic,36805.24678,Acer
224,107882.1445,20,Some College,Ford,Mid-Alantic,64060.67396,Sony
225,79393.77022,51,4-Year College Degree,Chevrolet,East South Central,327541.1979,Acer
226,110097.7753,79,"Master's, Doctoral or Professional Degree",Lincoln,East South Central,282891.0917,Sony
227,107887.4497,42,4-Year College Degree,Cadillac,West North Central,106710.7235,Acer
228,96160.32369,61,Some College,Dodge,West North Central,328170.5307,Sony
229,61926.03154,62,Some College,Buick,East North Central,353903.9806,Acer
230,89248.67214,42,"Master's, Doctoral or Professional Degree",Mitsubishi,New England,453443.3871,Acer
231,120689.9804,34,"Master's, Doctoral or Professional Degree",Dodge,Mid-Alantic,370293.4318,Sony
232,73906.88111,32,"Master's, Doctoral or Professional Degree",Ram,Pacific,499164.3429,Acer
233,30284.09299,22,"Master's, Doctoral or Professional Degree",Mazda,Mountain,280717.2947,Sony
234,109093.4971,78,Some College,Kia,New England,290646.7968,Sony
235,97601.6357,71,Some College,Ram,New England,419576.2768,Sony
236,106770.4341,73,Less than High School Degree,Ram,West North Central,22987.74052,Sony
237,75378.26838,49,Less than High School Degree,Toyota,West South Central,92529.98293,Sony
238,101945.0692,49,High School Degree,Buick,East South Central,423675.1601,Acer
239,61634.36353,40,Less than High School Degree,Nissan,New England,193099.202,Acer
240,87590.62225,26,High School Degree,Chevrolet,Pacific,492069.2417,Acer
241,73026.74521,25,"Master's, Doctoral or Professional Degree",Mercedes Benz,West North Central,56413.10219,Acer
242,115456.8145,69,Some College,Toyota,Mid-Alantic,402206.1683,Sony
243,51667.38702,70,Some College,BMW,Pacific,347967.0229,Acer
244,127191.5922,39,Less than High School Degree,Subaru,Mid-Alantic,166839.0287,Sony
245,134265.5064,64,Less than High School Degree,Mercedes Benz,West South Central,216715.7577,Sony
246,77252.30572,30,High School Degree,Mercedes Benz,West South Central,369266.2609,Acer
247,32157.30871,40,4-Year College Degree,Honda,Pacific,427414.4693,Sony
248,101426.2983,20,"Master's, Doctoral or Professional Degree",Mitsubishi,Mid-Alantic,144685.8191,Sony
249,31327.01506,37,4-Year College Degree,Mercedes Benz,East South Central,244495.5525,Sony
250,91331.60101,70,4-Year College Degree,Nissan,East South Central,317889.0442,Sony
251,119657.7762,31,High School Degree,Ford,South Atlantic,232172.259,Sony
252,59217.17824,58,Less than High School Degree,Jeep,East North Central,173339.5829,Acer
253,128632.2041,33,4-Year College Degree,Subaru,South Atlantic,49848.98053,Sony
254,23368.89826,51,4-Year College Degree,BMW,West North Central,442672.5687,Sony
255,20000.0,34,"Master's, Doctoral or Professional Degree",Subaru,West North Central,134710.0769,Sony
256,101699.427,67,Less than High School Degree,Chevrolet,East North Central,166498.081,Sony
257,130758.152,74,4-Year College Degree,Nissan,West South Central,170660.5457,Sony
258,104663.798,77,High School Degree,Toyota,East North Central,309124.8861,Sony
259,63922.48979,34,"Master's, Doctoral or Professional Degree",Kia,West North Central,389379.4122,Acer
260,140924.8071,80,Some College,Cadillac,New England,299265.7607,Sony
261,39443.5188,20,4-Year College Degree,None,Pacific,146688.4045,Sony
262,78378.65633,42,Some College,Ford,Mid-Alantic,203090.9077,Acer
263,106795.6744,58,Some College,Chevrolet,Pacific,137897.6149,Sony
264,33148.32585,70,Some College,Buick,Mid-Alantic,436216.7408,Acer
265,140087.6923,78,Some College,Buick,East South Central,360342.8861,Sony
266,140612.5067,50,Some College,Mazda,West South Central,276639.7362,Sony
267,72867.35203,67,"Master's, Doctoral or Professional Degree",Jeep,East South Central,301189.2593,Sony
268,94564.46832,34,High School Degree,Chrysler,East North Central,407331.4248,Acer
269,115429.476,57,Less than High School Degree,BMW,South Atlantic,145421.5062,Acer
270,55620.66204,71,"Master's, Doctoral or Professional Degree",Ram,West South Central,477419.175,Acer
271,33347.36033,70,Less than High School Degree,Mercedes Benz,West South Central,482101.269,Acer
272,39214.95888,46,Some College,Lincoln,East South Central,251382.0715,Sony
273,52866.81021,73,High School Degree,Dodge,East South Central,61389.59241,Acer
274,24178.67841,75,Some College,Honda,East North Central,75488.25598,Acer
275,45116.38819,28,"Master's, Doctoral or Professional Degree",Nissan,West South Central,281700.2304,Sony
276,27562.06748,27,High School Degree,Ram,Mid-Alantic,156619.7207,Sony
277,127504.2488,47,"Master's, Doctoral or Professional Degree",Dodge,East South Central,422383.8784,Sony
278,35821.31543,58,Some College,Kia,West North Central,327520.885,Sony
279,86313.61526,63,Less than High School Degree,Toyota,East South Central,457528.8196,Sony
280,150000.0,80,High School Degree,Toyota,West North Central,249547.659,Sony
281,129134.939,23,4-Year College Degree,Chevrolet,Mountain,166516.1563,Sony
282,111867.2446,48,Less than High School Degree,Subaru,East South Central,307842.5284,Acer
283,117098.6279,35,Less than High School Degree,Mercedes Benz,New England,499503.2089,Sony
284,51410.89278,65,4-Year College Degree,Cadillac,South Atlantic,347975.1063,Acer
285,104236.7524,38,"Master's, Doctoral or Professional Degree",Cadillac,West South Central,48980.45387,Sony
286,65666.1086,77,Less than High School Degree,Honda,South Atlantic,11105.34325,Acer
287,110467.0547,79,Less than High School Degree,Mitsubishi,East South Central,499205.9892,Sony
288,105509.2957,80,"Master's, Doctoral or Professional Degree",Nissan,Mid-Alantic,337376.1201,Sony
289,135012.8618,41,Some College,Ram,New England,203638.7886,Sony
290,133548.1379,80,High School Degree,BMW,Mid-Alantic,339518.2798,Sony
291,86242.63475,22,"Master's, Doctoral or Professional Degree",Jeep,South Atlantic,206786.4271,Acer
292,56309.34769,36,High School Degree,Hyundai,West South Central,130129.9302,Acer
293,27660.54122,32,High School Degree,Ford,Mid-Alantic,251119.3738,Sony
294,139175.3315,71,Less than High School Degree,Kia,East North Central,166746.0168,Sony
295,100577.598,35,Some College,Honda,Mountain,288933.1394,Sony
296,35053.53208,24,High School Degree,Nissan,New England,254572.0155,Sony
297,136474.7176,74,"Master's, Doctoral or Professional Degree",Honda,South Atlantic,197450.6893,Sony
298,147791.2778,69,Less than High School Degree,Nissan,Mountain,255592.9654,Sony
299,39644.082,30,4-Year College Degree,Buick,Pacific,463629.845,Sony
300,39372.49599,36,Less than High School Degree,Subaru,East South Central,350532.37,Sony
301,26573.25429,58,Less than High School Degree,Lincoln,East North Central,253095.6447,Sony
302,149630.8909,75,4-Year College Degree,Cadillac,South Atlantic,264908.7865,Sony
303,72179.50889,20,"Master's, Doctoral or Professional Degree",Subaru,East South Central,12750.89578,Acer
304,79986.354,49,4-Year College Degree,Buick,West South Central,500000.0,Acer
305,44697.96179,70,4-Year College Degree,Cadillac,East North Central,195563.4292,Acer
306,32394.8929,77,"Master's, Doctoral or Professional Degree",Ford,East South Central,383085.772,Acer
307,143742.3542,80,"Master's, Doctoral or Professional Degree",Kia,Pacific,129507.0112,Sony
308,129443.8747,43,High School Degree,Lincoln,West South Central,256947.4255,Sony
309,138335.9256,50,High School Degree,Dodge,West South Central,0.0,Sony
310,146398.1479,23,4-Year College Degree,Honda,Pacific,256626.6264,Sony
311,122047.985,65,Less than High School Degree,Chrysler,East South Central,480214.2265,Sony
312,111228.2913,75,Some College,Hyundai,Mountain,390871.9861,Sony
313,148080.6561,25,"Master's, Doctoral or Professional Degree",Dodge,Pacific,348060.9535,Sony
314,43943.42343,78,4-Year College Degree,Jeep,East North Central,140100.8136,Acer
315,103863.5228,44,"Master's, Doctoral or Professional Degree",Ram,East South Central,120606.6879,Acer
316,65915.23752,71,4-Year College Degree,Nissan,West South Central,283638.8152,Acer
317,38684.30988,31,"Master's, Doctoral or Professional Degree",BMW,West North Central,326804.9511,Sony
318,93678.64998,22,4-Year College Degree,Kia,West North Central,462596.6417,Acer
319,35888.77853,59,Some College,Mercedes Benz,New England,16701.63707,Acer
320,142943.6474,62,4-Year College Degree,BMW,East North Central,222267.6605,Sony
321,77634.44653,39,"Master's, Doctoral or Professional Degree",Nissan,East North Central,378508.0924,Acer
322,30479.86686,32,High School Degree,Hyundai,Mid-Alantic,447580.5806,Sony
323,48970.60266,44,"Master's, Doctoral or Professional Degree",Cadillac,East North Central,500000.0,Sony
324,57425.65076,34,4-Year College Degree,Nissan,East North Central,100141.4186,Acer
325,33813.23216,32,"Master's, Doctoral or Professional Degree",Lincoln,South Atlantic,380759.4711,Sony
326,43465.95266,79,4-Year College Degree,Kia,South Atlantic,305635.7217,Acer
327,29502.27521,73,Some College,Subaru,Mountain,326220.1284,Acer
328,33075.38364,64,Some College,Mazda,Pacific,80936.28401,Acer
329,51743.85768,42,Some College,Toyota,Pacific,233174.5004,Sony
330,82071.85363,37,4-Year College Degree,Mercedes Benz,East North Central,81533.14727,Acer
331,135270.97,39,Less than High School Degree,Mitsubishi,Mountain,9949.779397,Sony
332,142641.5404,41,Some College,Honda,Mountain,127900.6,Sony
333,126044.3852,26,Some College,Buick,Mid-Alantic,113170.0659,Sony
334,52016.06066,68,"Master's, Doctoral or Professional Degree",Kia,Pacific,193598.5375,Acer
335,116184.3174,57,"Master's, Doctoral or Professional Degree",None,East South Central,472757.6667,Acer
336,120265.442,52,Some College,Subaru,West North Central,98261.74286,Acer
337,21068.60387,67,High School Degree,Lincoln,New England,75248.05204,Sony
338,142443.0239,80,4-Year College Degree,Mercedes Benz,East North Central,217056.5673,Sony
339,140838.5331,53,Some College,Lincoln,Mid-Alantic,46629.10429,Sony
340,22242.57266,48,High School Degree,None,South Atlantic,233237.7063,Sony
341,141371.3985,57,Some College,None,West North Central,6758.350787,Sony
342,134775.7078,43,High School Degree,Ram,South Atlantic,410810.9561,Sony
343,106922.9616,46,Some College,Honda,West North Central,296361.4239,Acer
344,41864.3411,60,4-Year College Degree,Mitsubishi,East South Central,58115.38434,Sony
345,122989.4859,37,High School Degree,None,Pacific,227905.1129,Sony
346,99902.58369,71,Less than High School Degree,Hyundai,South Atlantic,282061.1136,Sony
347,52389.86608,54,Less than High School Degree,Mitsubishi,Pacific,430955.7821,Sony
348,79392.67683,74,Some College,BMW,East North Central,329353.3819,Sony
